text,label
What if there is an error on the exchange rate?,card_payment_wrong_exchange_rate
"There must have been a mistake, why was I charged an extra pound?",extra_charge_on_statement
If I find a card I lost do I need to dispose of it? Or can I re-active the card and continue to use it?,card_linking
The exchange rate for my electronic payment is incorrect.,card_payment_wrong_exchange_rate
"I'd lke my card reactivated, I was thinking it was misplaced but I discovered when I woke up that I had left it in my coat.",card_linking
How is the current exchange rate?,exchange_rate
A pending charge of 1L appears on my statement.  Please explain as I have not made a purchase for that amount,extra_charge_on_statement
An item I bought had the wrong exchange rate applied.,card_payment_wrong_exchange_rate
I thought I would have received my new card at this point.,card_arrival
"My new card isn't in my app, how do I get it in there?",card_linking
What fiat currencies are used for holdings?,fiat_currency_support
How can I tell what foreign exchange rate I will get?,exchange_rate
"Hey, I have my card, how do I get it to show in the app?",card_linking
Which fiat currencies can I use through this app?,fiat_currency_support
What is the foreign exchange rate you will apply?,exchange_rate
I am being charged a pound out of nowhere. What is this?,extra_charge_on_statement
What fiat currencies do you support?,fiat_currency_support
How come I was charged a transaction of $1?,extra_charge_on_statement
How do I know what exchange rate I will get?,exchange_rate
When will my new card be delivered?,card_arrival
I think the rate that was applied to my purchase using foreign currency is wrong. Help!,card_payment_wrong_exchange_rate
Should my cash withdrawal still be pending?,pending_cash_withdrawal
What is the $1 transaction on my account?,extra_charge_on_statement
Do you have info about the card on delivery?,card_arrival
Why would a cash withdrawal still be pending?,pending_cash_withdrawal
"Could I reactivate my card please, I couldn't find it but it turns out it was in my jacket pocket.",card_linking
How will I know what the exchange rate is?,exchange_rate
"There is an extra $1 charge on my statement, why is that?",extra_charge_on_statement
Where is the card I ordered 2 weeks ago?,card_arrival
How can I periodically check the delivery of the card you sent?,card_arrival
What is the source of your exchange rates?,exchange_rate
"Last Saturday, I made a payment and the exchange rate was wrong.  I was charged too much.",card_payment_wrong_exchange_rate
"I made an international purchase, but the exchange rate was wrong",card_payment_wrong_exchange_rate
"My card was declined and I did not receive money from the ATM earlier, yet it show on my account that it is pending.",pending_cash_withdrawal
I pulled cash from the ATM earlier. Why is it still pending if I already have the cash?,pending_cash_withdrawal
€1 was in my statement as an extra fee.,extra_charge_on_statement
I was issued a new card a week ago but still haven't received it. How long will it be until I receive it?,card_arrival
I tried to get some money but the machine was not working .The transaction still seems in progress! Can you please check what's going on.I don't want to be charged for money that I did not received.,pending_cash_withdrawal
How does the exchange rate work?,exchange_rate
My cash withdrawal isnt showing on my account,pending_cash_withdrawal
What currencies are supported?,fiat_currency_support
"If I was travelling abroad, would I be able to hold currencies in euros?",fiat_currency_support
Is it possible to track the card you sent me?,card_arrival
I got a new card and can't find where to link it.,card_linking
Why does my statement show a $1 charge on my account?,extra_charge_on_statement
I need to know what flat currencies you support for holding and exchange.,fiat_currency_support
"I just checked my statement and saw a $1 charge, why is it there?",extra_charge_on_statement
Are all European currencies available for holding and exchange?,fiat_currency_support
Can you tell me what this fee is on my statement?,extra_charge_on_statement
What other fiat currencies can I use?,fiat_currency_support
Tell me the currencies that you support.,fiat_currency_support
How long does it take for cash withdrawals to hit my account?,pending_cash_withdrawal
How can I add a new card?,card_linking
I have been charged way to much so something is apparently wrong with my exchange. I changed Russian Ruble into UK pounds.,card_payment_wrong_exchange_rate
I didn't receive the correct exchange rate for an item that I bought.,card_payment_wrong_exchange_rate
The exchange rate you are using is really bad. This can't possibly be the official interbank exchange rate.,card_payment_wrong_exchange_rate
How do you come up with your exchange rate,exchange_rate
I am still waiting for my card.,card_arrival
My card never arrived.,card_arrival
My statement shows an extra fee - what is it?,extra_charge_on_statement
I'm expecting to see a cash withdrawal but I'm still waiting.,pending_cash_withdrawal
I have been charged a pound for something that appears on my statement,extra_charge_on_statement
My foreign currency exchange has been applied incorrectly.,card_payment_wrong_exchange_rate
I bought an item and the exchange rate was wrong.,card_payment_wrong_exchange_rate
How much longer is it going to take to get my new card?,card_arrival
"I found my card in my jacket this morning, so can I reactivate it?",card_linking
Why is the exchange rate on my card payment different than I expected?,card_payment_wrong_exchange_rate
What is this €1 charge?,extra_charge_on_statement
help me link my card,card_linking
Why does my account show as pending a cash withdrawal from the ATM that I have already made?,pending_cash_withdrawal
"I want to reactivate my card, I thought I had lost it but found it again in my jacket this morning.",card_linking
Can I track when my card will be delivered?,card_arrival
"My cash withdrawal is showing as pending, why?",pending_cash_withdrawal
I don't understand why there is an extra €1 fee in my statement.,extra_charge_on_statement
"I would like to track a card sent to me, how do I do that?",card_arrival
How do I make my card appear on the app?,card_linking
Why was I charged extra on my last UK pound to Russian ruble exchange?,card_payment_wrong_exchange_rate
The fee charged when I changed rubles into British pounds was too much.,card_payment_wrong_exchange_rate
My statement shows and extra 1$ that was charged to it and I would like to know why.,extra_charge_on_statement
I need some help linking my new card.,card_linking
Can I get an update on my replacement card?,card_arrival
I have withdrawn cash from the ATM but it is showing in my account as a pending transation. Why is this?,pending_cash_withdrawal
"I guess exchange rate for my payment was not correct, as i charged extra on the last saturday.",card_payment_wrong_exchange_rate
"I've been waiting a while for my card, is there a way to know when it will arrive?",card_arrival
Can you tell me about why the account I have was charged an extra 1$,extra_charge_on_statement
"my cash withdrawal is pending, why?",pending_cash_withdrawal
I am travelling and I was wondering what your exchange rates are,exchange_rate
What do i do if the exchange rate was wrong for the item i bought overseas?,card_payment_wrong_exchange_rate
Do you offer services that hold money in different types of currency?,fiat_currency_support
Can I re-link a lost card with the app?,card_linking
I bought an item at the wrong exchange rate.,card_payment_wrong_exchange_rate
"My cash withdrawal shows pending, why?",pending_cash_withdrawal
Please check the exchange rate for my payment last Saturday. I believe I have been overcharged.,card_payment_wrong_exchange_rate
Why hasn't my withdrawal shown on my statement?,pending_cash_withdrawal
Does my account have the option to hold multiple currencies?,fiat_currency_support
